id,title,description,link,image_link,price,availability,item_group_id
102,Gelang Tiket Tissue,"Gelang tiket premium bahan tissue, nyaman dipakai. Sudah termasuk cetak, potong, dan pengunci.",https://tidurlah.com/product/gelang-tiket-tissue,https://tidurlah.com/product-image/New Product/GELANG-TIKET-TISSUE.webp,3500 IDR,in stock,
23,Sablon Kaos,Kaos sablon custom dengan desain Anda.,https://tidurlah.com/product/sablon-kaos,https://tidurlah.com/product-image/t-shirt-1.webp,75000 IDR,in stock,
105,Baju PDH,Baju PDH custom berkualitas untuk keperluan organisasi/komunitas.,https://tidurlah.com/product/baju-pdh,https://tidurlah.com/product-image/Merch/baju-pdh.webp,120000 IDR,in stock,
2100-3_mm,Plakat Akrilik UV - 3 mm,Plakat Akrilik UV berkualitas tinggi dengan berbagai pilihan ketebalan. Sudah termasuk box bludru.,https://tidurlah.com/product/plakat-akrilik-uv,https://tidurlah.com/product-image/Merch/Plakat-UV/UV-1.webp,125000 IDR,in stock,2100
2100-5_mm,Plakat Akrilik UV - 5 mm,Plakat Akrilik UV berkualitas tinggi dengan berbagai pilihan ketebalan. Sudah termasuk box bludru.,https://tidurlah.com/product/plakat-akrilik-uv,https://tidurlah.com/product-image/Merch/Plakat-UV/UV-1.webp,165000 IDR,in stock,2100
2100-8_mm,Plakat Akrilik UV - 8 mm,Plakat Akrilik UV berkualitas tinggi dengan berbagai pilihan ketebalan. Sudah termasuk box bludru.,https://tidurlah.com/product/plakat-akrilik-uv,https://tidurlah.com/product-image/Merch/Plakat-UV/UV-1.webp,190000 IDR,in stock,2100
2100-10_mm,Plakat Akrilik UV - 10 mm,Plakat Akrilik UV berkualitas tinggi dengan berbagai pilihan ketebalan. Sudah termasuk box bludru.,https://tidurlah.com/product/plakat-akrilik-uv,https://tidurlah.com/product-image/Merch/Plakat-UV/UV-1.webp,200000 IDR,in stock,2100
2100-20_mm,Plakat Akrilik UV - 20 mm,Plakat Akrilik UV berkualitas tinggi dengan berbagai pilihan ketebalan. Sudah termasuk box bludru.,https://tidurlah.com/product/plakat-akrilik-uv,https://tidurlah.com/product-image/Merch/Plakat-UV/UV-1.webp,285000 IDR,in stock,2100
1001,Papan Bunga Kecil - Pink Purple Gradient #PKK1,"Papan bunga kecil dengan desain pink purple gradient, dilengkapi dengan bunga dan kupu-kupu.",https://tidurlah.com/product/papan-bunga-kecil-pink-purple-gradient-pkk1,https://tidurlah.com/product-image/papan-bunga/Kecil - KODE PKK1 - Pink Purple gradient dengan bunga dan kupu-kupu.webp,65000 IDR,in stock,
1002,Papan Bunga Kecil - Bunga Matahari Mini #PKK3,Papan bunga kecil dengan bunga matahari mini dan anggrek putih.,https://tidurlah.com/product/papan-bunga-kecil-bunga-matahari-mini-pkk3,https://tidurlah.com/product-image/papan-bunga/Kecil - KODE PKK3 dengan Bunga matahari mini dan anggrek putih.webp,65000 IDR,in stock,
1003,Papan Bunga Kecil - Pink Gold Tropical #PKK5,Papan bunga kecil dengan tema pink gold tropical.,https://tidurlah.com/product/papan-bunga-kecil-pink-gold-tropical-pkk5,https://tidurlah.com/product-image/papan-bunga/Kecil - KODE PKK5 - Pink gold tropical.webp,65000 IDR,in stock,
1004,Papan Bunga - Plakat Bunga Anggrek Biru #PKB2,Plakat bunga dengan anggrek biru moonlight.,https://tidurlah.com/product/papan-bunga-plakat-bunga-anggrek-biru-pkb2,https://tidurlah.com/product-image/papan-bunga/KODE PKB2 - Plakat Bunga dengan anggrek biru moonlight.webp,70000 IDR,in stock,
1005,Papan Bunga - Plakat Bulat Anggrek Putih #PKB1,Plakat bulat dengan bunga anggrek putih.,https://tidurlah.com/product/papan-bunga-plakat-bulat-anggrek-putih-pkb1,https://tidurlah.com/product-image/papan-bunga/KODE PKB1 - Plakat Bulat dengan bunga anggrek putih.webp,70000 IDR,in stock,
1006,Papan Bunga - Pink Mawar Love #PKK6,Papan bunga pink dengan bunga mawar dan love di tepi.,https://tidurlah.com/product/papan-bunga-pink-mawar-love-pkk6,https://tidurlah.com/product-image/papan-bunga/KODE PKK6 - Pink dengan bunga mawar dan love di tepi.webp,70000 IDR,in stock,
1007,Papan Bunga - Hitam Emas Mewah #PKK7,Plakat hitam emas mewah dengan bunga monokromatik.,https://tidurlah.com/product/papan-bunga-hitam-emas-mewah-pkk7,https://tidurlah.com/product-image/papan-bunga/KODE PKK7 plakat hitam emas mewah dengan bunga monokromatik.webp,70000 IDR,in stock,
1008,Papan Bunga - Biru Muda Mawar #PKK4,Plakat biru muda dengan bunga mawar di tepi.,https://tidurlah.com/product/papan-bunga-biru-muda-mawar-pkk4,https://tidurlah.com/product-image/papan-bunga/KODE PKK4  - Plakat biru muda dengan bunga mawar di tepi.webp,70000 IDR,in stock,
200,Jasa Desain,Jasa desain profesional untuk semua kebutuhan grafis Anda. Konsultasi desain gratis.,https://tidurlah.com/product/jasa-desain,https://tidurlah.com/product-image/design-service.svg,25000 IDR,in stock,
2001,Jasa Express,Layanan express untuk pengerjaan cepat dalam 24 jam.,https://tidurlah.com/product/jasa-express,https://tidurlah.com/product-image/express-service.svg,25000 IDR,in stock,
2002,Ongkir,Biaya pengiriman yang dapat disesuaikan.,https://tidurlah.com/product/ongkir,https://tidurlah.com/product-image/ongkir.svg,0 IDR,in stock,
